arquivo_original,extensao,bytes,sha256
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Casos de Uso/SGFP_Casos_de_Uso_v1.0.md,.md,33844,53e5a36f0105d7710577c9efa7646af5f67d0635dd46fc704bde228668160e96
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Casos de Uso 3bf0c1676cbc800693c1ec75da52de3b.md,.md,239,4ae1172122044c8111a71518f3b8554ea0f9b0434c56dbfb2d198349586813d9
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Casos específicos de Compromissos Financei 3b70c1676cbc80938ec2fd66b32ba096.md,.md,8319,3b738f2e0160963603df3881730241aeafa9af15103f0ab998d7aabffb9221d2
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Categorias 3b70c1676cbc80b2ab52c9aba712f7f3.md,.md,3702,d742b5ee266a76b1f572b3830f7be2c3564f4bdadbb50e1eaa16fc911e6f1862
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Compromissos 3b70c1676cbc80009810d1dd39af79c3.md,.md,4775,eecf6f0a5824bc7e454679fc90493425f3746da4c4c54c5c85ee4dd9623b6d8f
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Configurações 3b70c1676cbc80ea86eaef3f8774d081.md,.md,7115,2f98a80b43d12fdaeefade1d8638f0fc8f674d96fcca11473ca74ed1ec3dc953
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Contas 3b70c1676cbc808da620e4c2255d45e3.md,.md,3162,5bc5da1a2d075770bf27850892f9788608dd8126ca40096ed8d9e199e1e21c5e
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Critérios de Aceitação 3c60c1676cbc80628e13f18fc7e982b7.md,.md,24835,64bb1698b637eaf5f5fab29f13bb8695ff286f6a38e61ff35fcdbf189244bbe9
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Dashboards 3b70c1676cbc80fdbe37e561ce05c4a5.md,.md,5640,e2415e528023909d7d37c698ab88f598efd2645768ead571766eeecefc55bb22
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Descrição Geral do Sistema 3bf0c1676cbc8037bcfce3706541d3e3.md,.md,1996,d61d1352f72b9b1670920e930a54fc68a0bc49327cb26ee699748fac1fe042a9
